id,name,time,lat,lng
6643,铁锋区龙华街道龙华小区4号楼,1581782400,47.342203,123.980780
6644,恒山区泰合铭居C区1号楼,1581782400,45.222058,130.914894
6645,嫩江市嫩江镇团结1队,1581523200,49.151935,125.216268
6646,宝山区上海新星集贸市场,1581782400,31.340763,121.466527
6647,宝山区泗塘五村,1581782400,31.339507,121.468066
6648,浦东新区周浦镇界浜村,1581782400,31.118732,121.655830
6649,浦东新区大润发（康桥店）,1581782400,31.141211,121.585395
6650,静安区锦江出租车六分公司,1581782400,31.229770,121.462365
6651,海曙区集士港镇丰成新村,1581782400,29.869606,121.468937
6652,马山县金钗镇乐江村塘乐屯,1581782400,24.000765,108.442114
6653,城区北街街道办事处古矿东区,1581782400,35.516896,112.857584
6654,大岭山镇信立农批市场,1581696000,22.905901,113.848688
6655,大朗镇水平村荔华西路,1581782400,22.881659,113.925164
6656,大朗镇黎贝岭豪锦公寓,1581782400,22.954429,113.910643
6657,寮步镇万科城市高尔夫花园,1581696000,23.014376,113.824573
6658,常平镇万科城,1581782400,22.938515,114.028464
6659,高埗镇颐龙湾,1581782400,23.093117,113.755714
6660,东城区东城街道雍华庭,1581782400,23.038929,113.774451
6661,石排镇碧水云天,1581782400,23.090125,113.945212
6662,南城区南城街道胜和花园公寓,1581782400,23.028204,113.745002
6663,横沥镇山厦村四海工业区,1581696000,23.041886,113.962247
6664,南山区鼎太风华二期,1581782400,22.526519,113.918270
6665,宝安区宝安大道万科·金色领域一期,1581782400,22.665512,113.821806
6666,福田区鑫竹苑,1581782400,22.544094,114.023912
6667,龙岗区佳兆业·中央广场一期,1581782400,22.698028,114.137627
6668,濂溪区十里街道七一三厂东区宿舍,1581782400,29.698769,115.997442
6669,五常市宝立小区顺鑫老年公寓,1581782400,44.924006,127.176932
6670,南岗区保健路大众新城小区二期,1581782400,45.699156,126.637910
6671,南岗区振兴街80号,1581782400,45.726732,126.620409
6672,南岗区科大小区,1581782400,45.721751,126.633935
6673,方正县方正镇博汇阳光小区,1581782400,45.852684,128.838816
6674,道里区安心街138号,1581782400,45.759760,126.623141
6675,道里区安静街道安静街82号,1581782400,45.765936,126.619792
6676,道里区民生尚都瑞园,1581782400,45.725518,126.529873
6677,道里区河政街花园小区,1581782400,45.766117,126.605790
6678,道里区群力招商贝肯山小区,1581782400,45.750515,126.543702
6679,道里区群力翠湖天地翠园,1581782400,45.735953,126.545129
6680,香坊区南直路99号泰新国典小区,1581782400,45.750870,126.716838
6681,香坊区果园街盛新领地小区,1581782400,45.731796,126.711706
6682,道外区保障街108号,1581782400,45.783460,126.660512
6683,道外区宝宇天邑澜湾,1581782400,45.787749,126.638655
6684,双峰县老国税局家属区,1581264000,27.737604,112.030473
6685,新化县琅塘镇杨木洲村,1581868800,28.028141,111.131554
6686,嫩江市嫩江镇安居5号楼,1581523200,49.190192,125.228824
6687,郯城县郯城街道龙域中央小区,1581436800,34.629338,118.363357
6688,南开区王顶堤,1581436800,39.144153,117.156626
6689,濉溪县四铺镇颜道口行政村杨家庄,1580832000,33.755717,116.727611
6690,濉溪县孙疃镇刘圩村,1580918400,33.578151,116.921662
6691,濉溪县孙疃镇孙疃村,1581004800,33.567411,116.773456
6692,濉溪县濉溪镇天之和风雅苑小区,1580659200,33.904433,116.775531
6693,濉溪县濉溪镇开发区玉兰花城小区,1581004800,33.907096,116.763700
6694,濉溪县领尚春城小区,1581004800,33.937053,116.784820
6695,相山区东街道办久兴批发市场旁,1581350400,33.979632,116.815267
6696,相山区凤凰山经济开发区小集村,1581868800,34.001966,116.735543
6697,相山区华松御苑小区,1581004800,33.963257,116.804581
6698,相山区曲阳街道办恒大雅苑小区,1580918400,33.961880,116.781839
6699,相山区西街道新华巷,1580745600,33.980610,116.803953
6700,杜集区高岳街道办博庄村,1580832000,33.981842,116.830383
6701,烈山区古饶镇山西村大杨家自然村,1580745600,33.759341,116.823521
6702,烈山区杨庄街道办南湖雅苑小区,1581004800,33.899098,116.816462
6703,邹平市黄山街道东景新村,1581868800,36.857881,117.736228
6704,昌乐县红河镇张家楼村,1581868800,36.358053,118.977277
6705,三角镇沙栏西路,1581868800,22.682490,113.424478
6706,金坛区指前镇,1581868800,31.621035,119.502159
6707,金坛区朱林镇,1581868800,31.743044,119.471164
6708,睢宁县成侯花园,1581868800,33.908086,117.932112
6709,南昌县象湖新力金沙湾,1581868800,28.603531,115.877371
6710,沁阳市覃怀办事处灯塔街,1581868800,35.095942,112.959958
6711,东城区天宝街道办事处万象春天,1581177600,34.051592,113.858005
6712,东城区天宝街道办事处万象春天小区,1581091200,34.051592,113.858005
6713,建安区河街乡,1580832000,34.073422,113.773544
6714,建安区陈曹乡伍连村,1581436800,34.132064,114.023853
6715,开发区龙湖办事处辖区,1580918400,34.006111,113.841322
6716,襄城县城关镇,1580832000,33.856411,113.489161
6717,襄城县麦岭镇,1580918400,33.782213,113.650547
6718,襄城县麦岭镇白亭东村,1581350400,33.767317,113.679221
6719,魏都区南关办事处原军分区八一市场,1581091200,34.027525,113.830916
6720,魏都区文峰办事处,1581004800,34.021839,113.843885
6721,碑林区东关正街109号,1581868800,34.265913,108.982110
6722,碑林区玄风桥4号,1581868800,34.262474,108.971995
6723,大英县盐井街道凉亭社区,1581868800,30.573399,105.278026
6724,经开区滨江社区飞虹街41栋,1581868800,30.538233,105.574792
6725,叙永县两河镇,1581177600,28.094274,105.387627
6726,古蔺县马蹄镇康田村,1581177600,27.744881,105.725725
